yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality
2022-01-16,22:46:22,61.043,3.832,10,1.8,3,0.3,NA,NA,NORWEGIAN SEA
2022-01-17,04:55:54,53.603,-2.984,7.7,1.1,9,0.3,NA,NA,SOUTHPORT MERSEYSIDE
2022-01-18,22:05:02,52.242,1.673,16.6,1,4,0.2,NA,NA,SOUTHERN NORTH SEA
2022-01-19,12:33:03,61.327,3.343,10,2,3,0.4,NA,NA,NORWEGIAN SEA
2022-01-19,20:32:18,55.792,-5.741,14.4,1.1,8,0.1,NA,NA,SOUND OF JURA
2022-01-21,23:45:47,51.722,-3.313,15.1,1,8,0.1,NA,NA,MERTHYR MERTHYR TYDFIL
2022-01-22,00:22:00,53.84,-0.449,9.2,1.6,12,0.3,NA,NA,BEVERLEY E YORKSHIRE
2022-01-23,20:21:20,50.374,-4.742,3.8,1.1,11,0,NA,I,BODELVA  CORNWALL
2022-01-24,02:48:41,55.065,-6.014,1,0.4,5,0.4,NA,NA,NORTH CHANNEL
2022-01-26,21:17:30,53.365,-4.319,6.5,0.8,5,0.3,NA,NA,DULAS ANGLESEY
2022-01-31,14:37:18,56.982,1.837,15.2,3.6,33,0.4,NA,NA,CENTRAL NORTH SEA
2022-02-01,00:10:20,52.341,-4.015,7.8,0.6,5,0.3,NA,NA,LLANILAR CEREDIGION
2022-02-01,12:55:43,50.175,-5.242,5.3,0.4,5,0,NA,NA,CARNMENELLIS CORNWALL
2022-02-01,16:38:04,50.174,-5.244,5.3,0.3,5,0,NA,NA,CARNMENELLIS CORNWALL
2022-02-01,19:23:14,56.176,-4.794,11.4,1.8,8,0.3,NA,NA,ARDGARTAN ARGYLL/BUTE
2022-02-01,19:49:56,50.174,-5.246,5.1,0,5,0,NA,NA,CARNMENELLIS CORNWALL
2022-02-02,14:01:38,55.864,-5.425,5.3,1.6,7,0.2,2,NA,TARBERT ARGYLL & BUTE
